    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
     211           211     0.5176   1.000E+00   0.1023   0.0150   1.008E-15   7.80983585E-02   2.69484432E-03
     212           212     0.5162   1.000E+00   0.1022   0.0150   8.528E-16   7.80986469E-02   2.69487387E-03
     213           213     0.5164   1.000E+00   0.1022   0.0150   9.892E-16   7.80989353E-02   2.69490342E-03
     214           214     0.5236   1.000E+00   0.1023   0.0149   1.051E-15   7.80992238E-02   2.69493299E-03
     215           215     0.5230   1.000E+00   0.1023   0.0149   9.325E-16   7.80995124E-02   2.69496256E-03
     216           216     0.5192   1.000E+00   0.1024   0.0149   9.159E-16   7.80998010E-02   2.69499214E-03
     217           217     0.5667   1.000E+00   0.1024   0.0149   8.070E-16   7.81000897E-02   2.69502172E-03
     218           218     0.5180   1.000E+00   0.1023   0.0149   9.544E-16   7.81003785E-02   2.69505132E-03
     219           219     0.5178   1.000E+00   0.1023   0.0149   8.812E-16   7.81006674E-02   2.69508092E-03
     220           220     0.5950   1.000E+00   0.1022   0.0149   8.861E-16   7.81009565E-02   2.69511053E-03
     221           221     0.5200   1.000E+00   0.1022   0.0149   1.031E-15   7.81012457E-02   2.69514015E-03
     222           222     0.5182   1.000E+00   0.1021   0.0148   8.834E-16   7.81015350E-02   2.69516978E-03
     223           223     0.5198   1.000E+00   0.1021   0.0148   8.176E-16   7.81018245E-02   2.69519942E-03
     224           224     0.5186   1.000E+00   0.1021   0.0148   7.899E-16   7.81021140E-02   2.69522907E-03
     225           225     0.5182   1.000E+00   0.1021   0.0148   8.923E-16   7.81024036E-02   2.69525872E-03
     226           226     0.5656   1.000E+00   0.1021   0.0149   8.182E-16   7.81026932E-02   2.69528838E-03
     227           227     0.5179   1.000E+00   0.1021   0.0149   7.585E-16   7.81029829E-02   2.69531804E-03
     228           228     0.5189   1.000E+00   0.1021   0.0149   9.103E-16   7.81032726E-02   2.69534771E-03
     229           229     0.5213   1.000E+00   0.1021   0.0149   8.825E-16   7.81035625E-02   2.69537739E-03
     230           230     0.5224   1.000E+00   0.1022   0.0149   7.891E-16   7.81038524E-02   2.69540707E-03
     231           231     0.5228   1.000E+00   0.1022   0.0149   8.697E-16   7.81041424E-02   2.69543676E-03
     232           232     0.5181   1.000E+00   0.1022   0.0149   7.728E-16   7.81044326E-02   2.69546646E-03
     233           233     0.5194   1.000E+00   0.1022   0.0149   8.962E-16   7.81047230E-02   2.69549616E-03
     234           234     0.5257   1.000E+00   0.1022   0.0149   7.805E-16   7.81050135E-02   2.69552588E-03
     235           235     0.5235   1.000E+00   0.1023   0.0149   9.412E-16   7.81053041E-02   2.69555560E-03
     236           236     0.5697   1.000E+00   0.1023   0.0149   9.758E-16   7.81055947E-02   2.69558533E-03
     237           237     0.5241   1.000E+00   0.1023   0.0149   1.060E-15   7.81058854E-02   2.69561506E-03
     238           238     0.5255   1.000E+00   0.1023   0.0149   7.894E-16   7.81061761E-02   2.69564480E-03
     239           239     0.5220   1.000E+00   0.1022   0.0149   8.156E-16   7.81064669E-02   2.69567454E-03
     240           240     0.5201   1.000E+00   0.1022   0.0149   9.016E-16   7.81067577E-02   2.69570429E-03
     241           241     0.5236   1.000E+00   0.1021   0.0149   8.671E-16   7.81070487E-02   2.69573404E-03
     242           242     0.5232   1.000E+00   0.1021   0.0149   9.049E-16   7.81073397E-02   2.69576380E-03
     243           243     0.5189   1.000E+00   0.1020   0.0149   8.859E-16   7.81076309E-02   2.69579356E-03
     244           244     0.5226   1.000E+00   0.1021   0.0149   8.462E-16   7.81079223E-02   2.69582334E-03
     245           245     0.5651   1.000E+00   0.1021   0.0149   8.758E-16   7.81082138E-02   2.69585312E-03
     246           246     0.5175   1.000E+00   0.1022   0.0149   9.048E-16   7.81085054E-02   2.69588292E-03
     247           247     0.5216   1.000E+00   0.1022   0.0149   8.990E-16   7.81087971E-02   2.69591271E-03
     248           248     0.5188   1.000E+00   0.1022   0.0149   7.900E-16   7.81090888E-02   2.69594252E-03
     249           249     0.5198   1.000E+00   0.1022   0.0149   8.429E-16   7.81093806E-02   2.69597233E-03
     250           250     0.5194   1.000E+00   0.1022   0.0149   8.762E-16   7.81096724E-02   2.69600215E-03
     251           251     0.5189   1.000E+00   0.1022   0.0149   8.947E-16   7.81099643E-02   2.69603197E-03
     252           252     0.5211   1.000E+00   0.1021   0.0149   8.200E-16   7.81102562E-02   2.69606180E-03
     253           253     0.5165   1.000E+00   0.1021   0.0149   1.011E-15   7.81105483E-02   2.69609164E-03
     254           254     0.5189   1.000E+00   0.1020   0.0149   8.467E-16   7.81108405E-02   2.69612148E-03
     255           255     0.5637   1.000E+00   0.1019   0.0149   9.646E-16   7.81111328E-02   2.69615134E-03
     256           256     0.5186   1.000E+00   0.1019   0.0149   9.297E-16   7.81114253E-02   2.69618120E-03
     257           257     0.5224   1.000E+00   0.1020   0.0149   8.373E-16   7.81117179E-02   2.69621108E-03
     258           258     0.5175   1.000E+00   0.1020   0.0149   9.610E-16   7.81120107E-02   2.69624096E-03
     259           259     0.5176   1.000E+00   0.1019   0.0149   9.955E-16   7.81123034E-02   2.69627085E-03
     260           260     0.5308   1.000E+00   0.1020   0.0149   9.060E-16   7.81125962E-02   2.69630075E-03
     261           261     0.5216   1.000E+00   0.1020   0.0149   9.202E-16   7.81128891E-02   2.69633066E-03
     262           262     0.5170   1.000E+00   0.1020   0.0149   9.132E-16   7.81131820E-02   2.69636057E-03
     263           263     0.5187   1.000E+00   0.1020   0.0149   8.043E-16   7.81134750E-02   2.69639048E-03
     264           264     0.5573   1.000E+00   0.1020   0.0149   7.986E-16   7.81137681E-02   2.69642041E-03
