    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
     247           247     0.0058   1.000E+00   0.1027   0.0058   9.701E-16   7.81361648E-02   2.68975596E-03
     248           248     0.0058   1.000E+00   0.1027   0.0058   9.115E-16   7.81365017E-02   2.68977452E-03
     249           249     0.0057   1.000E+00   0.1026   0.0058   9.042E-16   7.81368384E-02   2.68979311E-03
     250           250     0.0058   1.000E+00   0.1026   0.0058   7.632E-16   7.81371748E-02   2.68981174E-03
     251           251     0.0057   1.000E+00   0.1025   0.0057   8.182E-16   7.81375111E-02   2.68983039E-03
     252           252     0.0057   1.000E+00   0.1024   0.0057   8.121E-16   7.81378471E-02   2.68984907E-03
     253           253     0.0057   1.000E+00   0.1024   0.0057   1.097E-15   7.81381829E-02   2.68986778E-03
     254           254     0.0058   1.000E+00   0.1023   0.0057   9.135E-16   7.81385185E-02   2.68988652E-03
     255           255     0.0058   1.000E+00   0.1022   0.0057   9.041E-16   7.81388538E-02   2.68990528E-03
     256           256     0.0057   1.000E+00   0.1022   0.0057   1.086E-15   7.81391889E-02   2.68992408E-03
     257           257     0.0057   1.000E+00   0.1022   0.0056   7.983E-16   7.81395238E-02   2.68994290E-03
     258           258     0.0057   1.000E+00   0.1022   0.0056   7.835E-16   7.81398585E-02   2.68996175E-03
     259           259     0.0057   1.000E+00   0.1022   0.0056   9.754E-16   7.81401930E-02   2.68998062E-03
     260           260     0.0057   1.000E+00   0.1022   0.0056   8.975E-16   7.81405272E-02   2.68999953E-03
     261           261     0.0058   1.000E+00   0.1021   0.0056   9.162E-16   7.81408612E-02   2.69001846E-03
     262           262     0.0058   1.000E+00   0.1021   0.0056   8.392E-16   7.81411951E-02   2.69003741E-03
     263           263     0.0057   1.000E+00   0.1020   0.0056   8.993E-16   7.81415287E-02   2.69005639E-03
     264           264     0.0057   1.000E+00   0.1020   0.0056   1.007E-15   7.81418620E-02   2.69007540E-03
